num_attention_heads,hidden_size,train_micro_batch_size_per_gpu,seq_length,vocab_size,train_batch_size,tensor_mp_size,pipeline_mp_size,dp_size,attention_qkv_transform,attention_score,attention_over_value,attention_linear_projection,mlp_h_to_4h,transformer_layer_norm,logit_block,estimated_attention_duration,estimated_attention_throughput,estimated_mlp_duration,estimated_mlp_throughput,estimated_duration,estimated_throughput
16,4672,4,2048,51200,256,1,1,1,216.447,148.656,120.375,223.481,187.424,0.0005,175.908,0.0312,55.91,0.0076,374.847,0.0399,115.528
16,4688,4,2048,51200,256,1,1,1,178.65,71.09,36.266,182.1,192.957,0.0005,175.096,0.037,47.387,0.0075,385.914,0.0455,101.803
16,4704,4,2048,51200,256,1,1,1,144.639,127.926,96.15,234.683,185.664,0.0005,176.954,0.0342,51.573,0.0078,371.328,0.0431,108.308
16,4720,4,2048,51200,256,1,1,1,185.096,66.422,36.87,201.966,116.16,0.0005,148.15,0.0411,43.2,0.0126,232.32,0.0547,85.816
16,4736,4,2048,51200,256,1,1,1,141.702,136.524,132.411,224.396,222.195,0.0005,182.752,0.0335,53.333,0.0066,444.39,0.0411,114.906
16,4752,4,2048,51200,256,1,1,1,176.221,62.399,37.184,194.013,111.739,0.0005,148.617,0.0419,42.96,0.0132,223.477,0.0561,84.768
16,4768,4,2048,51200,256,1,1,1,232.326,120.88,96.29,232.853,220.46,0.0005,181.248,0.0315,57.526,0.0068,440.919,0.0392,122.03
16,4784,4,2048,51200,256,1,1,1,166.034,65.879,37.165,198.795,180.995,0.0005,149.307,0.0423,43.053,0.0083,361.99,0.0516,93.394
16,4800,4,2048,51200,256,1,1,1,199.729,144.083,137.162,237.068,208.522,0.0005,190.523,0.0307,59.699,0.0072,417.044,0.039,124.552
16,4816,4,2048,51200,256,1,1,1,172.003,70.53,37.466,212.447,171.646,0.0005,149.57,0.042,43.854,0.0089,343.293,0.0519,94.057
16,4832,4,2048,51200,256,1,1,1,223.413,126.62,101.056,240.469,212.167,0.0005,176.385,0.0326,56.897,0.0072,424.334,0.0408,120.35
16,4848,4,2048,51200,256,1,1,1,176.947,67.771,37.682,206.585,167.666,0.0005,165.168,0.0397,46.955,0.0092,335.332,0.05,99.018
16,4864,4,2048,51200,256,1,1,1,217.794,145.504,139.954,240.352,189.394,0.0005,181.457,0.0317,59.16,0.0082,378.787,0.0409,121.672
16,4880,4,2048,51200,256,1,1,1,179.806,66.326,38.047,199.615,158.842,0.0005,148.68,0.0428,44.147,0.0098,317.683,0.0536,93.444
16,4896,4,2048,51200,256,1,1,1,212.717,128.547,98.429,226.649,198.929,0.0005,180.951,0.0329,57.708,0.0079,397.858,0.0418,120.473
16,4912,4,2048,51200,256,1,1,1,174.348,70.884,38.088,193.12,159.161,0.0005,171.379,0.0395,48.322,0.0099,318.323,0.0505,100.425
16,4928,4,2048,51200,256,1,1,1,213.882,146.957,126.211,216.3,203.832,0.0005,181.207,0.0327,58.841,0.0078,407.664,0.0415,122.961
16,4944,4,2048,51200,256,1,1,1,195.286,71.686,38.23,204.283,151.205,0.0005,164.969,0.0399,48.456,0.0106,302.411,0.0515,99.685
16,4960,4,2048,51200,256,1,1,1,201.735,129.659,96.309,219.951,224.091,0.0005,175.004,0.0346,56.196,0.0072,448.182,0.0428,120.662
16,4976,4,2048,51200,256,1,1,1,196.432,68.438,38.474,202.831,159.955,0.0005,177.597,0.0385,50.85,0.0101,319.91,0.0497,104.753
16,4992,4,2048,51200,256,1,1,1,217.89,150.709,125.573,223.922,181.245,0.0005,155.048,0.0369,53.34,0.009,362.49,0.0469,111.568
16,5008,4,2048,51200,256,1,1,1,115.636,68.675,37.713,184.226,159.169,0.0005,156.911,0.0466,42.514,0.0103,318.339,0.0579,90.947
16,5024,4,2048,51200,256,1,1,1,214.879,124.909,94.039,216.043,223.449,0.0005,150.866,0.0388,51.369,0.0074,446.898,0.0472,112.267
16,5040,4,2048,51200,256,1,1,1,115.455,73.265,38.118,203.245,156.581,0.0005,175.443,0.0437,45.829,0.0106,313.162,0.0554,96.306
16,5056,4,2048,51200,256,1,1,1,221.786,150.774,122.517,238.034,140.189,0.0005,151.017,0.038,52.989,0.012,280.378,0.051,105.209
16,5072,4,2048,51200,256,1,1,1,183.043,72.899,38.425,198.535,158.933,0.0005,168.728,0.041,49.409,0.0106,317.866,0.0526,102.532
16,5088,4,2048,51200,256,1,1,1,228.622,123.549,102.368,234.936,139.786,0.0005,154.219,0.0381,53.497,0.0121,279.572,0.0513,105.933
16,5104,4,2048,51200,256,1,1,1,198.288,69.18,38.87,193.93,159.61,0.0005,173.21,0.0403,50.915,0.0107,319.22,0.052,105.1
16,5120,4,2048,51200,256,1,1,1,201.644,154.963,135.198,229.874,227.823,0.0005,152.514,0.0388,53.135,0.0075,455.646,0.0473,116.116
16,5136,4,2048,51200,256,1,1,1,112.866,67.568,39.87,203.846,159.326,0.0005,156.078,0.0481,43.12,0.0109,318.653,0.06,92.21
16,5152,4,2048,51200,256,1,1,1,220.505,121.249,100.634,230.947,227.04,0.0005,153.017,0.0392,53.213,0.0077,454.081,0.0479,116.171
16,5168,4,2048,51200,256,1,1,1,112.273,73.332,40.288,195.254,156.309,0.0005,171.496,0.0459,45.708,0.0112,312.618,0.0581,96.307
16,5184,4,2048,51200,256,1,1,1,223.603,156.213,138.184,220.725,131.208,0.0005,153.293,0.0386,54.579,0.0134,262.415,0.0531,106.032
16,5200,4,2048,51200,256,1,1,1,167.864,73.458,40.518,204.55,158.818,0.0005,158.075,0.0444,47.815,0.0112,317.636,0.0566,100.149
16,5216,4,2048,51200,256,1,1,1,219.858,128.896,100.098,233.047,167.164,0.0005,150.888,0.0401,53.194,0.0107,334.329,0.0518,109.974
16,5232,4,2048,51200,256,1,1,1,171.559,70.158,41.072,197.018,177.311,0.0005,169.955,0.0427,50.213,0.0101,354.621,0.0539,106.388
16,5248,4,2048,51200,256,1,1,1,224.638,143.558,144.197,221.023,202.344,0.0005,167.916,0.0367,58.725,0.0089,404.689,0.0467,123.57
16,5264,4,2048,51200,256,1,1,1,192.182,69.634,41.135,181.204,196.014,0.0005,156.35,0.0447,48.566,0.0093,392.028,0.055,105.532
16,5280,4,2048,51200,256,1,1,1,142.896,133.498,105.749,228.179,185.089,0.0005,176.25,0.0397,54.914,0.0099,370.179,0.0506,115.232
16,5296,4,2048,51200,256,1,1,1,191.836,74.605,41.449,204.077,191.276,0.0005,153.979,0.045,48.789,0.0096,382.551,0.0556,105.541
16,5312,4,2048,51200,256,1,1,1,141.543,149.021,144.498,237.542,205.769,0.0005,172.323,0.04,55.098,0.009,411.537,0.0501,117.932
16,5328,4,2048,51200,256,1,1,1,154.585,74.595,41.898,208.066,113.664,0.0005,158.403,0.0461,48.069,0.0164,227.327,0.0636,93.441
16,5344,4,2048,51200,256,1,1,1,214.496,120.572,109.264,237.166,187.776,0.0005,178.099,0.0368,60.578,0.01,375.552,0.0478,124.885
16,5360,4,2048,51200,256,1,1,1,163.406,69.669,42.174,207.133,167.573,0.0005,156.754,0.0464,48.285,0.0112,335.146,0.0587,102.305
16,5376,4,2048,51200,256,1,1,1,178.712,142.523,151.353,211.219,194.474,0.0005,185.739,0.0369,61.061,0.0097,388.947,0.0477,126.726
16,5392,4,2048,51200,256,1,1,1,157.802,66.396,42.749,188.218,156.32,0.0005,165.303,0.0459,49.388,0.0122,312.641,0.0591,102.756
